x,y,z,yaw
-1.1367356300783428e-05,-3.1277980894652763e-12,0.0,8.464662115031214e-07
-1.1367356481725205e-05,-3.1277982426264424e-12,0.0,8.464662396663232e-07
-1.1367356662668308e-05,-3.1277983957887362e-12,0.0,8.464662678137667e-07
-1.1367356843612808e-05,-3.1277985489522074e-12,0.0,8.464662959455403e-07
-1.1367357024558639e-05,-3.1277987021168195e-12,0.0,8.464663240616695e-07
-1.1367357205505802e-05,-3.1277988552825626e-12,0.0,8.464663521621512e-07
-1.1367357386454296e-05,-3.1277990084494366e-12,0.0,8.464663802470672e-07
-1.1367357567404152e-05,-3.1277991616174657e-12,0.0,8.464664083163586e-07
-1.1367357748355303e-05,-3.1277993147866023e-12,0.0,8.464664363701945e-07
-1.1367357929307842e-05,-3.12779946795692e-12,0.0,8.464664644085378e-07
-1.1367358110261681e-05,-3.127799621128347e-12,0.0,8.464664924313834e-07
-1.1367358291216847e-05,-3.1277997743008958e-12,0.0,8.46466520438935e-07
-1.1367358472173333e-05,-3.1277999274745633e-12,0.0,8.464665484311917e-07
-1.1367358653131148e-05,-3.127800080649364e-12,0.0,8.46466576407939e-07
-1.1367358834090256e-05,-3.1278002338252717e-12,0.0,8.464666043694901e-07
-1.1367359015050696e-05,-3.1278003870023037e-12,0.0,8.464666323157864e-07
-1.1367359196012464e-05,-3.1278005401804695e-12,0.0,8.464666602468276e-07
-1.1367359376975532e-05,-3.1278006933597427e-12,0.0,8.464666881626251e-07
-1.136735955793992e-05,-3.1278008465401347e-12,0.0,8.464667160633422e-07
-1.1367359738905595e-05,-3.127800999721612e-12,0.0,8.464667439490112e-07
-1.136735991987258e-05,-3.127801152904206e-12,0.0,8.464667718195321e-07
-1.1367360100840885e-05,-3.127801306087919e-12,0.0,8.464667996751792e-07
-1.1367360281810468e-05,-3.127801459272726e-12,0.0,8.464668275157152e-07
-1.1367360462781327e-05,-3.1278016124586145e-12,0.0,8.464668553412639e-07
-1.1367360643753456e-05,-3.127801765645594e-12,0.0,8.464668831519476e-07
-1.1367360824726868e-05,-3.12780191883366e-12,0.0,8.464669109476896e-07
-1.1367361005701574e-05,-3.127802072022817e-12,0.0,8.464669387285528e-07
-1.1367361186677566e-05,-3.1278022252130714e-12,0.0,8.46466966494592e-07
-1.136736136765482e-05,-3.1278023784044014e-12,0.0,8.464669942458193e-07
-1.1367361548633325e-05,-3.1278025315967976e-12,0.0,8.464670219823651e-07
-1.1367361729613106e-05,-3.127802684790273e-12,0.0,8.464670497041414e-07
-1.136736191059416e-05,-3.127802837984832e-12,0.0,8.464670774112616e-07
-1.1367362091576488e-05,-3.1278029911804805e-12,0.0,8.464671051036824e-07
-1.1367362272560061e-05,-3.1278031443771867e-12,0.0,8.464671327815903e-07
-1.1367362453544878e-05,-3.1278032975749475e-12,0.0,8.464671604448306e-07
-1.1367362634530936e-05,-3.1278034507737657e-12,0.0,8.464671880934908e-07
-1.1367362815518263e-05,-3.1278036039736663e-12,0.0,8.464672157277776e-07
-1.1367362996506824e-05,-3.1278037571746066e-12,0.0,8.46467243347447e-07
-1.1367363177496638e-05,-3.127803910376622e-12,0.0,8.464672709526998e-07
-1.1367363358487704e-05,-3.127804063579704e-12,0.0,8.464672985436798e-07
-1.1367363539479998e-05,-3.127804216783824e-12,0.0,8.46467326120192e-07
-1.1367363720473537e-05,-3.127804369989e-12,0.0,8.464673536823587e-07
-1.1367363901468322e-05,-3.1278045231952396e-12,0.0,8.464673812303239e-07
-1.1367364082464284e-05,-3.1278046764024863e-12,0.0,8.464674087640421e-07
-1.1367364263461498e-05,-3.127804829610791e-12,0.0,8.46467436283445e-07
-1.136736444445993e-05,-3.127804982820137e-12,0.0,8.464674637887537e-07
-1.1367364625459591e-05,-3.1278051360305243e-12,0.0,8.464674912797841e-07
-1.1367364806460464e-05,-3.1278052892419405e-12,0.0,8.464675187567336e-07
-1.1367364987462545e-05,-3.127805442454393e-12,0.0,8.464675462197212e-07
-1.1367365168465836e-05,-3.1278055956678722e-12,0.0,8.464675736685635e-07
-1.1367365349470378e-05,-3.127805748882403e-12,0.0,8.464676011033455e-07
-1.1367365530476098e-05,-3.1278059020979407e-12,0.0,8.464676285242527e-07
-1.1367365711483018e-05,-3.1278060553144992e-12,0.0,8.464676559310846e-07
-1.1367365892491149e-05,-3.127806208532092e-12,0.0,8.464676833239813e-07
-1.1367366073500482e-05,-3.1278063617507114e-12,0.0,8.464677106836305e-07
-1.136736625451116e-05,-3.1278065149704724e-12,0.0,8.464677379380696e-07
-1.136736643552309e-05,-3.1278066681912957e-12,0.0,8.464677651779181e-07
-1.1367366616536244e-05,-3.127806821413159e-12,0.0,8.464677924035699e-07
-1.1367366797550562e-05,-3.127806974636017e-12,0.0,8.464678196152685e-07
-1.1367366978566067e-05,-3.1278071278598862e-12,0.0,8.464678468130533e-07
-1.136736715958277e-05,-3.127807281084768e-12,0.0,8.46467873997153e-07
-1.136736734060059e-05,-3.127807434310603e-12,0.0,8.464679011675053e-07
-1.1367367521619583e-05,-3.1278075875374404e-12,0.0,8.464679283242743e-07
-1.1367367702639748e-05,-3.127807740765267e-12,0.0,8.464679554673097e-07
-1.1367367883661046e-05,-3.1278078939940603e-12,0.0,8.464679825968064e-07
-1.1367368064683535e-05,-3.1278080472238597e-12,0.0,8.464680097127677e-07
-1.1367368245707156e-05,-3.1278082004546237e-12,0.0,8.46468036815216e-07
-1.1367368426731924e-05,-3.1278083536863648e-12,0.0,8.464680639040382e-07
-1.1367368607757862e-05,-3.1278085069191e-12,0.0,8.464680909794036e-07
-1.1367368788784939e-05,-3.127808660152801e-12,0.0,8.464681180414258e-07
-1.1367368969813129e-05,-3.1278088133874633e-12,0.0,8.464681450900392e-07
-1.1367369150842457e-05,-3.1278089666230817e-12,0.0,8.46468172125258e-07
-1.136736933187294e-05,-3.1278091198596926e-12,0.0,8.464681991471703e-07
-1.136736951290453e-05,-3.1278092730972436e-12,0.0,8.464682261557227e-07
-1.1367369693937255e-05,-3.1278094263357527e-12,0.0,8.46468253151001e-07
-1.1367369874971146e-05,-3.127809579575256e-12,0.0,8.464682801330009e-07
-1.1367370056006129e-05,-3.127809732815695e-12,0.0,8.464683071017677e-07
-1.1367370237042232e-05,-3.127809886057088e-12,0.0,8.464683340573942e-07
-1.1367370418079481e-05,-3.127810039299444e-12,0.0,8.464683609997643e-07
-1.1367370599117832e-05,-3.1278101925427413e-12,0.0,8.464683879290516e-07
-1.1367370780157304e-05,-3.1278103457869963e-12,0.0,8.464684148452909e-07
-1.1367370961197905e-05,-3.127810499032211e-12,0.0,8.464684417485203e-07
-1.136737114223961e-05,-3.1278106522783597e-12,0.0,8.464684686386433e-07
-1.1367371323282436e-05,-3.1278108055254593e-12,0.0,8.464684955157529e-07
-1.1367371504326371e-05,-3.127810958773515e-12,0.0,8.464685223798428e-07
-1.1367371685371381e-05,-3.1278111120224846e-12,0.0,8.464685492308916e-07
-1.136737186641748e-05,-3.127811265272378e-12,0.0,8.464685760691242e-07
-1.1367372047464723e-05,-3.127811418523236e-12,0.0,8.464686028944094e-07
-1.1367372228513052e-05,-3.1278115717750416e-12,0.0,8.464686297068924e-07
-1.1367372409562469e-05,-3.127811725027747e-12,0.0,8.464686565064301e-07
-1.1367372590612975e-05,-3.127811878281396e-12,0.0,8.464686832931608e-07
-1.1367372771664597e-05,-3.1278120315359827e-12,0.0,8.464687100670893e-07
-1.136737295271729e-05,-3.1278121847914858e-12,0.0,8.464687368283476e-07
-1.1367373133771053e-05,-3.127812338047898e-12,0.0,8.46468763576787e-07
-1.1367373314825912e-05,-3.1278124913052445e-12,0.0,8.464687903124538e-07
-1.1367373495881865e-05,-3.127812644563509e-12,0.0,8.46468817035536e-07
-1.13673736769389e-05,-3.1278127978227085e-12,0.0,8.464688437459853e-07
-1.1367373857996972e-05,-3.127812951082794e-12,0.0,8.464688704436991e-07
-1.1367374039056111e-05,-3.127813104343779e-12,0.0,8.464688971288339e-07
-1.1367374220116354e-05,-3.1278132576057105e-12,0.0,8.464689238015039e-07
-1.1367374401177646e-05,-3.127813410868535e-12,0.0,8.464689504615292e-07
-1.1367374582240004e-05,-3.1278135641322586e-12,0.0,8.464689771091071e-07
-1.1367374763303438e-05,-3.127813717396905e-12,0.0,8.464690037442018e-07
-1.1367374944367925e-05,-3.127813870662444e-12,0.0,8.464690303668248e-07
-1.1367375125433454e-05,-3.1278140239288634e-12,0.0,8.464690569769695e-07
-1.1367375306500035e-05,-3.1278141771961796e-12,0.0,8.464690835747464e-07
-1.1367375487567691e-05,-3.127814330464412e-12,0.0,8.464691101601346e-07
-1.1367375668636373e-05,-3.127814483733516e-12,0.0,8.464691367331845e-07
-1.1367375849706121e-05,-3.127814637003531e-12,0.0,8.464691632940346e-07
-1.1367376030776922e-05,-3.127814790274445e-12,0.0,8.464691898424469e-07
-1.1367376211848749e-05,-3.127814943546231e-12,0.0,8.464692163785432e-07
-1.1367376392921637e-05,-3.127815096818922e-12,0.0,8.464692429025077e-07
-1.1367376573995563e-05,-3.1278152500924944e-12,0.0,8.464692694142497e-07
-1.1367376755070487e-05,-3.1278154033669305e-12,0.0,8.464692959137865e-07
-1.1367376936146477e-05,-3.127815556642257e-12,0.0,8.464693224012406e-07
-1.1367377117223503e-05,-3.127815709918464e-12,0.0,8.464693488765975e-07
-1.1367377298301573e-05,-3.1278158631955675e-12,0.0,8.464693753397138e-07
-1.1367377479380666e-05,-3.1278160164735394e-12,0.0,8.464694017908163e-07
-1.1367377660460784e-05,-3.127816169752384e-12,0.0,8.46469428229908e-07
-1.1367377841541917e-05,-3.127816323032092e-12,0.0,8.464694546569156e-07
-1.1367378022624071e-05,-3.1278164763126588e-12,0.0,8.464694810720416e-07
-1.1367378203707245e-05,-3.1278166295941098e-12,0.0,8.464695074752515e-07
-1.1367378384791434e-05,-3.1278167828764126e-12,0.0,8.464695338664489e-07
-1.1367378565876644e-05,-3.1278169361595875e-12,0.0,8.464695602456918e-07
-1.1367378746962856e-05,-3.1278170894436234e-12,0.0,8.46469586613099e-07
-1.1367378928050075e-05,-3.127817242728509e-12,0.0,8.464696129685833e-07
-1.136737910913832e-05,-3.127817396014273e-12,0.0,8.464696393122531e-07
-1.136737929022756e-05,-3.1278175493008863e-12,0.0,8.464696656442176e-07
-1.1367379471317789e-05,-3.1278177025883323e-12,0.0,8.464696919642981e-07
-1.1367379652409038e-05,-3.1278178558766456e-12,0.0,8.464697182727211e-07
-1.1367379833501289e-05,-3.1278180091658155e-12,0.0,8.464697445693873e-07
-1.1367380014594499e-05,-3.1278181624558053e-12,0.0,8.46469770854282e-07
-1.1367380195688766e-05,-3.1278183157466885e-12,0.0,8.464697971274736e-07
-1.1367380376784005e-05,-3.1278184690383977e-12,0.0,8.464698233892019e-07
-1.1367380557880239e-05,-3.1278186223309647e-12,0.0,8.464698496391818e-07
-1.1367380738977468e-05,-3.127818775624374e-12,0.0,8.46469875877608e-07
-1.136738092007566e-05,-3.127818928918603e-12,0.0,8.464699021044639e-07
-1.1367381101174837e-05,-3.1278190822136686e-12,0.0,8.46469928319701e-07
-1.1367381282274999e-05,-3.127819235509575e-12,0.0,8.464699545234048e-07
-1.136738146337613e-05,-3.1278193888063108e-12,0.0,8.464699807157836e-07
-1.1367381644478227e-05,-3.127819542103866e-12,0.0,8.464700068964989e-07
-1.1367381825581308e-05,-3.127819695402251e-12,0.0,8.464700330657996e-07
-1.1367382006685353e-05,-3.1278198487014684e-12,0.0,8.464700592236771e-07
-1.1367382187790367e-05,-3.1278200020015043e-12,0.0,8.464700853702318e-07
-1.1367382368896336e-05,-3.1278201553023614e-12,0.0,8.464701115053153e-07
-1.1367382550003304e-05,-3.127820308604054e-12,0.0,8.464701376291129e-07
-1.1367382731111201e-05,-3.1278204619065534e-12,0.0,8.464701637415887e-07
-1.1367382912220086e-05,-3.127820615209881e-12,0.0,8.464701898427459e-07
-1.1367383093329952e-05,-3.127820768514051e-12,0.0,8.464702159327075e-07
-1.1367383274440739e-05,-3.127820921819002e-12,0.0,8.464702420114682e-07
-1.136738345555248e-05,-3.1278210751247578e-12,0.0,8.464702680789158e-07
-1.1367383636665204e-05,-3.127821228431355e-12,0.0,8.464702941351429e-07
-1.136738381777885e-05,-3.1278213817387443e-12,0.0,8.464703201802937e-07
-1.1367383998893445e-05,-3.1278215350469417e-12,0.0,8.464703462142606e-07
-1.1367384180009033e-05,-3.127821688355975e-12,0.0,8.464703722000057e-07
-1.13673843611257e-05,-3.1278218416659257e-12,0.0,8.464703981270655e-07
-1.136738454224335e-05,-3.1278219949767214e-12,0.0,8.464704240424417e-07
-1.1367384723361978e-05,-3.1278221482883476e-12,0.0,8.464704499463465e-07
-1.1367384904481566e-05,-3.127822301600788e-12,0.0,8.464704758389032e-07
-1.1367385085602098e-05,-3.1278224549140354e-12,0.0,8.464705017202491e-07
-1.1367385266723558e-05,-3.1278226082280627e-12,0.0,8.464705275904396e-07
-1.1367385447845975e-05,-3.1278227615429034e-12,0.0,8.464705534495371e-07
-1.1367385628969282e-05,-3.127822914858517e-12,0.0,8.464705792975351e-07
-1.136738581009355e-05,-3.1278230681749296e-12,0.0,8.464706051345272e-07
-1.1367385991218754e-05,-3.1278232214921513e-12,0.0,8.464706309605537e-07
-1.1367386172344875e-05,-3.12782337481016e-12,0.0,8.464706567756332e-07
-1.1367386353471898e-05,-3.1278235281289338e-12,0.0,8.464706825798282e-07
-1.136738653459986e-05,-3.127823681448502e-12,0.0,8.464707083730455e-07
-1.1367386715728779e-05,-3.1278238347688783e-12,0.0,8.464707341553362e-07
-1.136738689685857e-05,-3.127823988090015e-12,0.0,8.46470759926797e-07
-1.1367387077989308e-05,-3.127824141411951e-12,0.0,8.464707856875055e-07
-1.1367387259120977e-05,-3.1278242947346755e-12,0.0,8.464708114373124e-07
-1.1367387440253514e-05,-3.127824448058138e-12,0.0,8.464708371762638e-07
-1.1367387621386994e-05,-3.127824601382407e-12,0.0,8.464708629044469e-07
-1.1367387802521417e-05,-3.127824754707474e-12,0.0,8.464708886219764e-07
-1.1367387983656692e-05,-3.1278249080332706e-12,0.0,8.464709143287288e-07
-1.1367388164792875e-05,-3.1278250613598583e-12,0.0,8.464709400246705e-07
-1.1367388345930007e-05,-3.127825214687235e-12,0.0,8.464709657100326e-07
-1.1367388527068008e-05,-3.127825368015356e-12,0.0,8.464709913846233e-07
